,Publisher,count
0,Electronic Arts,26
1,Nintendo,6
2,Activision,5
3,Sega,5
4,Konami Digital Entertainment,4
5,Microsoft Game Studios,1
6,Take-Two Interactive,1
7,Sony Computer Entertainment,1
8,505 Games,1
