,Publisher,count
0,THQ,10
1,Nintendo,9
2,Namco Bandai Games,5
3,Capcom,4
4,Sony Computer Entertainment,4
5,Atari,4
6,Warner Bros. Interactive Entertainment,3
7,Midway Games,3
8,Acclaim Entertainment,2
9,Square Enix,1
10,Arena Entertainment,1
11,GT Interactive,1
12,Sega,1
13,Electronic Arts,1
