,Publisher,count
0,Nintendo,21
1,Ubisoft,6
2,Activision,6
3,Sony Computer Entertainment,5
4,Electronic Arts,2
5,Namco Bandai Games,2
6,Microsoft Game Studios,2
7,MTV Games,1
8,Sony Computer Entertainment Europe,1
9,Take-Two Interactive,1
10,Midway Games,1
11,RedOctane,1
12,Sega,1
