,Publisher,count
0,Nintendo,10
1,Electronic Arts,6
2,Konami Digital Entertainment,5
3,Activision,5
4,Take-Two Interactive,4
5,THQ,3
6,Ubisoft,3
7,Sega,2
8,Warner Bros. Interactive Entertainment,2
9,Microprose,1
10,Eidos Interactive,1
11,Atari,1
12,Banpresto,1
13,Virgin Interactive,1
14,Mastertronic,1
15,Microsoft Game Studios,1
16,Sony Computer Entertainment,1
17,Namco Bandai Games,1
18,Westwood Studios,1
