,Publisher,count
0,Nintendo,18
1,Bethesda Softworks,8
2,Square Enix,5
3,Capcom,3
4,Activision,3
5,Sony Computer Entertainment,3
6,SquareSoft,3
7,Enix Corporation,2
8,Microsoft Game Studios,2
9,Take-Two Interactive,1
10,Namco Bandai Games,1
11,Electronic Arts,1
