,Publisher,count
0,Electronic Arts,17
1,Nintendo,13
2,Konami Digital Entertainment,5
3,505 Games,4
4,Ubisoft,3
5,Microsoft Game Studios,2
6,Sony Computer Entertainment Europe,2
7,Sony Computer Entertainment,1
8,Activision,1
9,Maxis,1
10,LucasArts,1
