,Publisher,count
0,Nintendo,28
1,Atari,6
2,THQ,3
3,Warner Bros. Interactive Entertainment,3
4,Electronic Arts,2
5,Namco Bandai Games,1
6,Sony Computer Entertainment,1
7,Compile,1
8,Disney Interactive Studios,1
9,Banpresto,1
10,Midway Games,1
11,JVC,1
12,505 Games,1
