,Publisher,count
0,Take-Two Interactive,13
1,Nintendo,8
2,Sony Computer Entertainment,6
3,Ubisoft,4
4,Electronic Arts,3
5,Konami Digital Entertainment,3
6,LucasArts,2
7,Virgin Interactive,2
8,Warner Bros. Interactive Entertainment,2
9,Eidos Interactive,2
10,Sony Computer Entertainment Europe,1
11,Capcom,1
12,Activision,1
13,GT Interactive,1
14,Atari,1
