,Publisher,count
0,Nintendo,12
1,THQ,6
2,Disney Interactive Studios,5
3,Ubisoft,4
4,Sony Computer Entertainment,4
5,Capcom,3
6,Sega,2
7,Electronic Arts,2
8,Konami Digital Entertainment,2
9,Red Orb,2
10,Take-Two Interactive,2
11,Mojang,1
12,Square Enix,1
13,Atari,1
14,Sony Computer Entertainment Europe,1
15,LucasArts,1
16,Alchemist,1
