,Publisher,count
0,Nintendo,14
1,Electronic Arts,13
2,Sony Computer Entertainment,12
3,Take-Two Interactive,4
4,Microsoft Game Studios,3
5,Codemasters,1
6,Vivendi Games,1
7,Acclaim Entertainment,1
8,Disney Interactive Studios,1
